Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Script	Cardtext
Seven Dwarfs	CMF	CMF-035	CMF-035	Resonator	Nightmare/Killer	{r}{r}	2	700	700	Fire	C		[Continuous] This card must attack if able.[Continuous] As you choose a card to attack, you must choose this card if able.[Continuous] As you choose a card to attack, you must choose this card if able.
Snow White | Bloody Snow White	CMF	CMF-036-r,CMF-036-j	CMF-036	Ruler	Human			0 | 1300	0 | 1300	Fire	R		[J-Activate] Pay {w}{r}{2}.[J-Activate] Pay {1}, discard "Poison Apple". | [Target Attack] (This card can attack against recovered J/resonator.) [Activate] [Rest] Rest target J/resonator. [Activate] Pay {1}, discard "Poison Apple": Destroy target resonator.
Wolf-Haunted in Black Forest	CMF	CMF-037	CMF-037	Resonator	Nightmare/Werewolf	{r}	1	500	300	Fire	U		[Continuous] When this card is destroyed, if you don't control any Moon, this card deals 500 damage to you.
Thunder	CMF	CMF-038	CMF-038	Spell:Chant-Instant		{r}	1			Fire	R		This card deals 500 damage to target player or J/resonator.
Archer of the Crescent Moon	CMF	CMF-039	CMF-039	Resonator	Wererabbit	{u}{1}	2	200	200	Water	C		[Flying] (This card cannot be blocked be resonators without [Flying].) [Continuous] This card gains [+300/+300] for each other Wererabbit you control.
Charles VII	CMF	CMF-040	CMF-040	Resonator	Nightmare/Human	{u}{2}	3	600	600	Water	U		[Activate] Pay {1}, banish a Human resonator: Draw a card. [Activate] Pay {}, banish a Human resonator: Return target resonator to its owner's hand.
Deep Ones	CMF	CMF-041	CMF-041	Resonator	Cthulhu	{u}{1}	2	0	200	Water	SR		[Continuous] This card gains[+200/+200] for each resonator in your graveyard
Five Challenges	CMF	CMF-042	CMF-042	Spell:Chant-Standby		{u}{1}	2			Water	C		[Trigger] Anytime: Draw a card. If you control five or more Treasury Items, return all resonators your opponent controls to their owner's hands instead. [Continuous] When you put a Treasury Item into a field, put this card from your graveyard into your hand.
Hamelin's Pied Piper	CMF	CMF-043	CMF-043	Resonator	Fairy Tale/Mage	{u}{u}{3}	5	1000	1000	Water	R		[Enter] Rest target resonator your opponent controls. It doesn't recover during the recovery phase as long as this card is on a field. [Continuous] Whenever this card attacks, rest target resonator your opponent controls. It doesn't recover during the recovery phase as long as this card is on a field.
Heavenly Feathered Robe	CMF	CMF-044	CMF-044	Addition:Resonator		{u}{u}{u}	3			Water	U		Gain control of added resonator as long as its total cost is 2 or less. Added resonator becomes water.
Inquisition	CMF	CMF-045	CMF-045	Spell:Chant		{u}	1			Water	R		Rest two recovered resonators you control. If your Ruler is "Nameless Girl" or your J-Ruler is "Jeanne d'Arc, the Flame of Hatred", rest one recovered resonator you control instead. If you do, destroy target resonator. Its controller may copy this spell and may choose new targets for the copy.
Knight of the New Moon	CMF	CMF-046	CMF-046	Resonator	Wererabbit/Knight	{u}	1	0	200	Water	C		[Activate] [Rest] Draw a card, then discard a card.
Nameless Girl | Jeanne d'Arc, the Flame of Hatred	CMF	CMF-047-r,CMF-047-j	CMF-047	Ruler	Human			0 | 1200	0 | 1200	Water	R		[J-Activate] Pay {r}{u}{2}: If a Human is put into your graveyard from a field this turn, you may pay {0} to play this ability instead. | [Enter] Destroy all other Humans. [Activate] [Rest] Prevent all damage from target Human resonator until end of turn. [Activate] Pay {r}{1}: This card deals 500 damage to target Human.
One-Inch Boy	CMF	CMF-048	CMF-048	Resonator	Fairy Tale/Human	{u}{1}	2	100	300	Water	C		[Continuous] Whenever this card deals damage to a resonator, destroy the resonator.
Pale Moon	CMF	CMF-049	CMF-049	Addition:Field		{u}{2}	3			Water	R		[Continuous] Each Wererabbit you control gains [+200/+200]. [Activate] Pay {u}, banish this card: Return target resonator to its owner's hand.
Rabbit Kick	CMF	CMF-050	CMF-050	Spell:Chant-Instant		{u}{u}	2			Water	U		Choose one - Return target resonator to its owner's hand; or return up to two target resonators to their owner's hand if your control a Wererabbit resonator.
Rat Catcher's Pipe	CMF	CMF-051	CMF-051	Addition:Resonator		{u}	1			Water	C		[Continuous] Resonator with this gains "[Activate] [Rest] Rest target resonator." [Continuous] If the resonator with this is "Hamelin's Pied Piper", it gains "[Activate] Pay {u}: Recover this card." [Activate] Pay {u}: Return this card to its owner's hand.
Seer of the Blue Moon | Kaguya, Princess of the Moon	CMF	CMF-052-r,CMF-052-j	CMF-052	Ruler	Human			0 | 0	0 | 0	Water	R		[J-Activate] Pay {0}: You cannot play this ability if you haven't put any Treasury Item into a field this turn. [Continuous] You pay {1} to put cards into your chant-standby area rather than pay {2}. | [Activate] Pay {0}: Change the text of target Treasury Item you control by replacing all instances of one attribute with another one until end of turn. [Activate] Pary {u}{u}{1}: Search your main deck for a Treasury Item, reveal it and put it into your hand. Then shuffle your main deck.
Servant of Kaguya	CMF	CMF-053	CMF-053	Resonator	Wererabbit	{u}{2}	3	400	400	Water	C		[Flying]. [Continuous] This card gains [+400/+400] for each Treasury Item you control.
Squirmer of the Dark	CMF	CMF-054	CMF-054	Resonator	Cthulhu	{u}{2}	3	1000	1000	Water	C		[Continuous] At the beginning of your main phase, put the top three cards from your magic stone deck into your graveyard. If you cannot put three cards into your graveyard this way, banish this card and you lose 1000 life. (If you have less than three cards in your magic stone deck left, put all cards from your magic stone deck into your graveyard instead.)
Stone Bowl of Buddha	CMF	CMF-055	CMF-055	Addition:Field		{u}	1			Water	U		[Activate] [Rest] Target resonator cannot be blocked by water resonators until end of turn.
Swordsman of the Full Moon	CMF	CMF-056	CMF-056	Resonator	Wererabbit	{u}{u}{2}	4	900	900	Water	SR		[Flying] (This card cannot be blocked be resonators without [Flying].) [Enter] Return target resonator to its owner's hand.
Voice of the False God	CMF	CMF-057	CMF-057	Spell:Chant-Instant		{u}{1}	2			Water	C		Banish a resonator you control. If you do, draw two cards. If you banished a Human in this way, draw three cards instead.
Absolute Cake Zone	CMF	CMF-058	CMF-058	Spell:Chant-Instant		{g}{1}	2			Wind	C		Cancel target normal spell. If you control "Hansel" or "Gretel", draw a card.
Aramis, the Three Musketeers	CMF	CMF-059	CMF-059	Resonator	Fairy Tale/Musketeer	{g}{g}{1}	3	500	500	Wind	U		[Enter] Produce {g} for each Musketeer resonator you control.
Athos, the Three Musketeers	CMF	CMF-060	CMF-060	Resonator	Fairy Tale/Musketeer	{g}{g}{2}	4	800	800	Wind	SR		[Enter] Search your main deck for an [Addition:Resonator], reveal it and put it into your hand. If your Ruler is "Puss in Boots" or your J-Ruler is "D'Artagnan, the Bayoneteer", you may put that card on to this card instead. Then shuffle your main deck.
Christie, the Wind Tracker | Helsing, the Vampire Hunter	CMF	CMF-061-r,CMF-061-j	CMF-061	Ruler	Elf			0 | 1000	0 | 1000	Wind	R		[J-Activate] Pay {g}{g}{2}: If your opponent controls a Vampire, Immortal of Werewolf resonator, you may pay {0} to play this ability instead. [Activate] [Rest] Draw a card. You cannot play this ability if you don't have exactly five cards in your hand. | [Enter] Target non-Human J/resonator loses all abilities until end of turn. At the end of turn, destroy it.
Cottage of Cakes	CMF	CMF-062	CMF-062	Addition:Field		{g}	1			Wind	R		[Continuous] "Hansel" and "Gretel" you control cannot be targeted by spells or abilities you opponent controls. [Activate] Pay {g},[Rest] Remove target resonator you control from the game. [Activate] Pay {g},[Rest] banish this card: Return all resonators removed from the game by this card into your field.
Cowrie of Swallows	CMF	CMF-063	CMF-063	Addition:Field		{g}{2}	3			Wind	U		[Activate] [Rest] Target wind resonator cannot be targeted by spells or abilities your opponent controls until end of turn.
Crucifix	CMF	CMF-064	CMF-064	Addition:Resonator		{g}{g}	2			Wind	C		[Continuous] Resonator with this gains [-1000/-1000] if its a Vampire. Otherwise it cannot be attacked or targeted by spells or abilities your opponent controls.
Elvish Bowman	CMF	CMF-065	CMF-065	Resonator	Elf	{g}	1	300	300	Wind	C		[Activate] [Rest] Destroy target addition.
Elvish Exorcist	CMF	CMF-066	CMF-066	Resonator	Elf	{g}{1}	2	500	500	Wind	C		[Enter] Destroy target Vampire resonator.
Elvish Priest	CMF	CMF-067	CMF-067	Resonator	Elf	{g}	1	100	400	Wind	C		[Activate] [Rest] Produce {g}.
Fina, the Silver Player	CMF	CMF-068	CMF-068	Resonator	Elf	{g}{g}{1}	3	400	400	Wind	R		[Continuous] If your Ruler is "Christie, the Wind Tracker" or your J-Ruler is "Helsing, the Vampire Hunter", each resonator your opponent controls loses its symbol skills. [Continuous] Each otehr Elf you control gains [+400/+400].
Gretel	CMF	CMF-069	CMF-069	Resonator	Fairy Tale/Human	{g}{1}	2	200	200	Wind	U		[Enter] Reveal the top card of your magic stone deck, if it's a wind magic stone, put it into your magic stone area.
Hansel	CMF	CMF-070	CMF-070	Resonator	Fairy Tale/Human	{g}{g}{1}	3	400	700	Wind	SR		[Continuous] This card cannot be attacked as long as you control "Gretel". [Continuous] Whenever this card deals damage to an opponent, draw a card.
Law of Silence	CMF	CMF-071	CMF-071	Spell:Chant-Instant		{g}{g}	2			Wind	R		Target player cannot play normal spells and summon spells until end of turn.
Musketeer's Bayonet	CMF	CMF-072	CMF-072	Addition:Resonator		{g}	1			Wind	C		[Continuous] Resonator with this gains [+400/+0]. If it's a Musketeer, it also gains [First Strike] and [Pierce].
Porthos, the Three Musketeers	CMF	CMF-073	CMF-073	Resonator	Fairy Tale/Musketeer	{g}{g}{1}	3	700	400	Wind	C		[Pierce] (If this card deals more battle damage than the lethal damage to J/resonator, it deals excess damage to your opponent.)
Puss in Boots | D'Artagnan, the Bayoneteer	CMF	CMF-074-r,CMF-074-j	CMF-074	Ruler	Fairy Tale/Cat			0 | 1000	0 | 800	Wind	R		[J-Activate] Pay {9}: If you control "Athos, the Three Musketeers", you pay {3} less to play this ability. So does "Aramis, the Three Musketeers" and "Porthos, the Three Musketeers". [Continuous] You may pay {1} less to play Musketeer resonators. | [Pierce] [Target Attack] [Continuous] Each Musketeer resonator you control gains [+400/+400].
Siege Warfare	CMF	CMF-075	CMF-075	Spell:Chant-Standby		{g}{g}{3}	5			Wind	C		[Trigger] You Ruler is "Puss in Boots" or your J-Ruler is "D'Artagnan, the Bayoneteer", and you control "Athos, the Three Musketeers", "Porthos, the Three Musketeers" and "Aramis, the Three Musketeers": Destroy target resonator or J-Ruler.
Silver Bullet	CMF	CMF-076	CMF-076	Spell:Chant		{g}{1}	2			Wind	U		If your Ruler is "Christie, the Wind Tracker" or your J-Ruler is "Helsing, the Vampire Hunter", you may pay {1} less to play this card. Search your main deck for a wind resonator, reveal it and put it into your hand. Then shuffle your main deck.
Alucard, the Dark Noble | Dracula, the Demonic One	CMF	CMF-077-r,CMF-077-j	CMF-077	Ruler	Vampire			0 | 1000	0 | 1000	Dark	R		[J-Activate] Pay {0}: You cannot play this abilith if you don't control a Vampire resonator and a resonator your opponent controlled hasn't entered a graveyard this turn. [Activate] [Rest] Target resonator gains [-0/-300] until end of turn. | [Flying] (This card cannot be blocked by resonators without [Flying].) Imperishable (If this card would be destroyed, move this card to your Ruler area as a Ruler without losing any abilities.) [Continuous] Whenever a resonator your opponent controls is put into a graveyard, if it was dealt damage by this card this turn, put it into your field under your control. It gains Nightmare and Vampire in addition to its own race.
Alvarez, the Demon Castle	CMF	CMF-078	CMF-078	Addition:Field		{d}{1}	2			Dark	R		[Continuous] Each Vampire you control gains [+200/+200], [Activate] Pay {d}, banish this card: Put target Vampire resonator from your graveyard into your hand.
Black Coffin of Vampires	CMF	CMF-079	CMF-079	Addition:Resonator		{d}{d}	2			Dark	C		[Continuous] Vampire resonator with this cannot be targeted by spells or abilities your opponent controls. Otherwise, it cannot attack or block.[Activate] Pay {d}: Return this card to its owner's hand.
Bloodsucking Impulse	CMF	CMF-080	CMF-080	Spell:Chant-Instant		{d}{1}	2			Dark	C		Target Vampire you control deals damage equal to its ATK to another target resonator. Then you gain life equal to half of that much damage. (Rounded up to the nearest 100.)
Carmilla, the Queen of Vampires	CMF	CMF-081	CMF-081	Resonator	Vampire	{d}{d}{2}	4	800	800	Dark	SR		[Enter] Destroy target non-Vampire resonator. If your Ruler is "Alucard, the Dark Noble" or your J-Ruler is "Dracula, the Demonic One", and the resonator destroyed this way is a Human, put it into your field under your control. It loses all races and becomes a Vampire.
Cinderella, the Ashen Maiden	CMF	CMF-082	CMF-082	Resonator	Nightmare/Human	{d}{d}	2	400	400	Dark	SR		[Continuous] Whenever this card deals damage to your opponent, you may search your main deck for a Prince resonator, reveal it and put it into your hand. Then shuffle your main deck. [Activate] Banish a resonator: this card deals 200 damage to each resonator your opponent controls.
Deadman Prince	CMF	CMF-083	CMF-083	Resonator	Nightmare/Immortal/Prince	{d}{2}	3	500	500	Dark	C		[Enter] Put target resonator from your graveyard into your hand.
Jewels on Dragon's Neck	CMF	CMF-084	CMF-084	Addition:Field		{d}{2}	3			Dark	U		[Activate] Pay {d},[Rest] Put target dark addition from your graveyard into your hand.
Lora, the Blood Speaker	CMF	CMF-085	CMF-085	Resonator	Vampire	{d}{1}	2	300	300	Dark	U		[Enter] Search your main deck for a Vampire resonator, reveal it and put it into your hand. Then shuffle your main deck.
Midnight Bell	CMF	CMF-086	CMF-086	Spell:Chant-Standby		{d}{1}	2			Dark	C		[Trigger] Total number of all resonators and all magic stones is twelve: Each resonator your opponent controls loses all abilities and becomes [0/200] until end of turn.
Pandora, Girl of the Box  | Pandora of Dark	CMF	CMF-087-r,CMF-087-j	CMF-087	Ruler	Human			0 | 400	0 | 800	Void	R		[J-Activate] Pay {w}{d}{3}. | [Enter] Your opponent discards all cards from his or her hand.
Pumpkin Witch	CMF	CMF-088	CMF-088	Resonator	Nightmare/Witch	{d}{2}	3	300	800	Dark	C		[Enter] Each resonator you control gains [Flying] and [Swiftness] until end of turn.
Resurrection of Vampire	CMF	CMF-089	CMF-089	Spell:Chant-Instant		{d}{d}{2}	4			Dark	U		Put a Vampire resonator from your graveyard into your field. This triggers its [Enter] ability.
Romeo, the Despair	CMF	CMF-090	CMF-090	Resonator	Nightmare/Immortal	{d}	1	300	300	Dark	U		[Continuous] When this card is put into your graveyard from a field, if you control "Juliet, the Hope", you may pay {d}. If you do, put this card from your graveyard into your field.
Servant of Vampire	CMF	CMF-091	CMF-091	Resonator	Vampire	{d}	1	200	200	Dark	C		[Continuous] As your opponent plays spells or abilities targeting a Vampire you control, he or she must choose this card as one of its target if able.
Slipper of Cinderella	CMF	CMF-092	CMF-092	Addition:Resonator		{d}	1			Dark	C		[Continuous] Resonator with this gains [+600/+600] if it's dark and its printed ATK and DEF is [400/400]. Otherwise, it gains [-400/-400].
Spiral of Despair	CMF	CMF-093	CMF-093	Spell:Chant		{d}{d}	2			Dark	R		Your opponent discards two cards. If your Ruler is "Pandora, Girl of the Box" or your J-Ruler is "Pandora of Light" or "Pandora of Dark", he or she discards two cards at random instead.
Vampire Bat	CMF	CMF-094	CMF-094	Resonator	Vampire	{d}{1}	2	0	200	Dark	C		[Flying] (This card cannot be blocked by resonators without [Flying].). [Continuous] Whenever this card deals damage, you gain that much life. [Activate] Pay {d}: This card gains [+200/+0] until end of turn.
Vampire's Staff	CMF	CMF-095	CMF-095	Resonator	Vampire	{d}{1}	2	400	400	Dark	R		[Continuous] At the beginnig of your recovery phase, reveal the top card of your main deck. This card deals 100 damage to target player for each will symbol on the revealed card attribute cost and you gain that much life.
Breath of the God	TAT	TAT-001	TAT-001	Spell:Chant-Instant		{w}{1}	2			Light	C		You may pay {w}{1} less to play this card, if it targets a Saint.Target J/resonator you control cannot be targeted by spells or abilities until end of turn. Draw a card.
Caterina, the Saint of Fantasy	TAT	TAT-002	TAT-002	Resonator	Fantasy/Saint	{w}{w}{1}	3	600	600	Light	U		[Continuous] Other resonators you control gain [+100/+100].
Don Quijote, the Wandering Knight	TAT	TAT-003	TAT-003	Resonator	Knight/Human	{w}{w}{2}	4	900	900	Light	R		[Awakening] {w} (You may pay an additional {w} as you play this card. If you do, this card gains the following ability.) [Enter] Resonators you control cannot be destroyed until end of turn.
Grimm, the Avenger of Fairy Tales	TAT	TAT-004	TAT-004	Resonator	Fairy Tale/Human	{w}{w}	2	500	500	Light	SR		[Enter] Choose target resonator: Remove it from the game if it's darkness. Otherwise, it gains [+200/+200] until end of turn. [Awakening] {w}: [Enter] If you J/ruler is "Sacred Princess of Guidance" or "Lumia, the Creator of Hope", J/resonators your opponent controls lose all abilities until end of turn.
Guardian of Tower	TAT	TAT-005	TAT-005	Resonator	Ancient/Human	{w}{1}	2	200	600	Light	C		[Continuous] [Addition:Field] cards you control cannot be targeted by spells or abilities your opponent controls. [Continuous] If you control a Tower, this card gains [+0/+600].
Jeanne d'Arc, the Awakening Purity	TAT	TAT-006	TAT-006	Resonator	Saint/Human	{w}{w}{w}	3	700	700	Light	SR		[Continuous] Each turn, prevent the first damage that would be dealt to a Fantasy or Human J/resonator you control. [Awakening] {w}: [Enter] You may put a nonspell Fantasy Card from your hand into your field. (You may pay an additional {w} as you play this card. If you do, this card gains the following ability.)
Jump to the Sky	TAT	TAT-007	TAT-007	Spell:Chant-Standby		{w}{w}{2}	4			Light	C		[Trigger] When a resonator you control deals damage to your opponent: Recover that resonator. You may put three hope counters on a "Lumiel, the Tower of Hope" you control. (Pay {2} to put this card into your chant-standby area. You may play this from the next turn if it fulfills [Trigger] condition and you control magic stones equal or more than its cost.)
Light of Lumia	TAT	TAT-008	TAT-008	Spell:Chant-Instant		{w}{3}	4			Light	U		If your J/ruler is "Sacred Princess of Guidance" or "Lumia, the Creator of Hope", you may pay {2} less to play this card. Choose one - Rest all non-light, non-Fairy Tale resonators; or remove target non-light, non-Fairy Tale resonator from the game.
Longinus, the Holy Lance	TAT	TAT-009	TAT-009	Addition:Resonator		{w}{w}	2			Light	C		[Continuous] Resonator with this gains [+500/+500], cannot be targeted by darkness spells or darkness card's abilities and prevent all damage that would be dealt to it by darkness cards.
Lumiel, the Tower of Hope	TAT	TAT-010	TAT-010	Addition:Field		{w}{1}	2			Light	R		[Continuous] At the beginning of your main phase, put hope counters equal to the number of resonators you control on this card. Then, if there are ten or more hope counters on this card, banish it and destroy all resonators and additions your opponent controls.
March of Saints	TAT	TAT-011	TAT-011	Spell:Chant		{w}{1}	2			Light	C		Light resonators you control gain [+300/+0] and [First Strike] until end of turn. If you control a Saint, they cannot be blocked until end of turn.
Pure Spirit of Fantasy	TAT	TAT-012	TAT-012	Resonator	Fantasy	{w}{1}	2	500	500	Light	C		
Realm of Pure Spirits	TAT	TAT-013	TAT-013	Addition:Field		{w}{1}	2			Light	U		[Continuous] Recovered resonators you control cannot be targeted by spells or abilities your opponent controls.
Sacred Princess of Guidance | Lumia, the Creator of Hope	TAT	TAT-014-r,TAT-014-j	TAT-014	Ruler	Princess			0 | 1000	0 | 1000	Light	R		[J-Activate] Pay {w}. Play this ability only if you control "Almerius, the Levitating Stone". [J-Activate] Pay {w}{w}{1}. [Activate] [Rest] You gain 300 life. | [Continuous] Once per turn, you may play a card from your removed from the game zone. [Activate] Pay {0}: If there are no cards in your removed from this game zone, remove top three cards of your main deck from the game face down. You may look at them at any time.
Sacred Scepter of Exorcism	TAT	TAT-015	TAT-015	Addition:Resonator		{w}	1			Light	U		[Continuous] Resonator with this gains "[Activate] [Rest] Rest target resonator. If it's a Demon, it cannot be recovered as long as this card is in a field."
Seeking Sky Soldier	TAT	TAT-016	TAT-016	Resonator	Soldier/Human	{w}{1}	2	400	400	Light	C		[Flying] (While attacking, this card cannot be blocked by J/resonators without [Flying].) [Enter] You may look the top card of your opponent's main deck.
The Queen's Butler	TAT	TAT-018	TAT-017	Resonator	Butler/Human	{w}	1	200	400	Light	C		[Continuous] Your J/ruler cannot be targeted by your opponent's spells or abilities.
