Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Script	Cardtext
Lanslot, the Knight of the Lake	1	1-013	1-013	Resonator	Knight of the Round Table	{w}{w}{2}	4	800	600	Light	R		[Target Attack]|[Activate] Pay {w}{w}: Choose an [Addition: Resonator] in a field and add it on this card.
Hardworking Followers	1	1-014	1-014	Resonator	Crowd	{w}{1}	2	400	400	Light	C		[Break] Target resonator gains [+0 / +500] until end of turn.|[Activate] [Rest]: Target resonator gains [+0 / +300] until end of turn.
Ironwall Monk	1	1-015	1-015	Resonator	Monk	{w}{2}	3	600	600	Light	C		[Break] Rest target resonator.|[Activate] [Rest], banish this card: Target resonator cannot be dealt any battle damage until end of turn.
Kingdom Alchemist Wizards Force	1	1-016	1-016	Resonator	Wizard	{w}	1	200	200	Light	C		[Break] Put this card into your field.|[Enter] Reveal the top card of your magic stone deck. Then you may shuffle it.
Healing Master	1	1-017	1-017	Resonator	Wizard	{w}{1}	2	400	400	Light	C		[Break] You gain 500 life.|[Enter] You gain 500 life.
Glorious Lion	1	1-018	1-018	Resonator	Lion	{w}	1	400	200	Light	R		[Break] Put this card into your field.
Sleeping Lion	1	1-019	1-019	Resonator	Lion	{w}{w}{2}	4	800	800	Light	C		
Snowwhite, the White Scale Dragon	1	1-020	1-020	Resonator	Dragon	{w}{w}{4}	6	1000	1000	Light	R		[Continuous] Other resonators gain [-200 / -0].|[Continuous] At the end of your turn, recover this card.
Kingdom Wyvern	1	1-021	1-021	Resonator	Dragon	{w}{w}{3}	5	600	800	Light	U		[Flying]
Sphinx, the Guardian of the King's Tomb	1	1-022	1-022	Resonator	Divine Beast	{w}{w}{3}	5	0	1500	Light	R		[Break] All damage becomes 0 until end of turn.|[Continuous] At the end of battle phase that this card blocked. You gain 300 life.
Will-o'-the-wisp	1	1-023	1-023	Resonator	Spirit		0	0	100	Light	R		[Break] Choose a resonator in your graveyard and put it into your hand.|[Continuous] If a resonator in your field would be destroyed, pay {w} and banish this card not to destroy it instead.
Raphael, the Healing Archangel	1	1-024	1-024	Resonator	Angel	{w}{w}{4}	6	800	1000	Light	R		[Flying]|[Enter] You gain 800 life.|[Activate] [Rest]: Target resonator cannot be dealt any damage until end of turn.
Benem, the Guardian Angel	1	1-025	1-025	Resonator	Angel	{w}{3}	4	200	800	Light	C		[Flying]
Amaterasu, the Oracle of Sacred Text	1	1-026	1-026	Resonator	Deity	{w}{w}{w}	3	400	400	Light	SR		[Continuous] This card cannot be attacked by your opponent's resonator.|[Activate] [Rest]: Target resonator cannot be dealt any battle damage and cannot be targeted by a spell until end of turn.|[Activate] [Rest]: Destroy target addition.
Thor, the White Lightning	1	1-027	1-027	Resonator	Deity	{w}{w}{3}	5	1000	1000	Light	SR		[Continuous] As you choose this card as attacker, you may discard a card. If you do, choose a resonator in an opponents field and rest it before you choose where to attack.
Chivalry	1	1-028	1-028	Addition: Field		{w}{w}	2			Light	R		[Continuous] [Race: Knight of the Round Table] cards gain [+200 / +200].
Etape	1	1-029	1-029	Addition: Field		{w}{3}	3			Light	C		[Continuous] When you draw a card from your main deck, if it's a first card you draw this turn, you gain 200 life. (You don't gain life if it's your second card or later.)
Ward of Protection	1	1-030	1-030	Addition: Field		{w}{w}{2}	4			Light	C		[Continuous] Each of your resonators gain [-400 / +400].
Power from Inside	1	1-031	1-031	Addition: Resonator		{w}	1			Light	C		[Continuous] Resonator with this gains [+200 / +400].
Will of Peace	1	1-032	1-032	Addition: Resonator		{w}{1}	2			Light	C		[Continuous] Resonator with this gains [-800 / -0].
Iron-tight	1	1-033	1-033	Addition: Resonator		{w}{w}{1}	3			Light	C		[Continuous] Resonator with this gains [+0 / +800].
Aroundight, the Holy Sword	1	1-034	1-034	Addition: Resonator		{w}{w}{1}	3			Light	R		[Continuous] Resonator with this gains [+400 / +400].|[Continuous] You gain life equal to the damage the resonator with this deals to an opponent.
Restoration	1	1-035	1-035	Spell	Chant	{w}{1}	2			Light	C		[Break] Choose a resonator in your graveyard and put it into your hand.|Choose a resonator in your graveyard and put it into your hand.
Search for the Holy Site	1	1-036	1-036	Spell	Chant	{w}{1}	2			Light	C		[Break] Reveal the top card of your magic stone deck and put it into your magic stone area rested.|Search for a magic stone from your magic stone deck and put it into your magic stone area rested. Then you shuffle your magic stone deck.
Expedition	1	1-037	1-037	Spell	Chant	{w}{w}	2			Light	U		[Break] Draw a card from your main deck.|Search for a [Race: Knight of the Round Table] resonator from your main deck, reveal it and put it into your hand. Then shuffle your main deck.
Bless of the Holy Grail	1	1-038	1-038	Spell	Chant	{w}{3}	4			Light	C		[Break] Target player gains 500 life.|Target player gains 800 life.
Besieged Battle	1	1-039	1-039	Spell	Chant - Instant	{w}	1			Light	C		[Break] Recover target resonator in your field.|Recover your resonators. Their ATK becomes 0 until end of turn.
Head on Attack	1	1-040	1-040	Spell	Chant - Instant	{w}	1			Light	C		[Break] Draw a card from your main deck.|Target blocking resonator or J-ruler gains [+600 / +600] until the end of turn.
Battle Cry	1	1-041	1-041	Spell	Chant - Instant	{w}{1}	2			Light	C		[Break] Recover target resonator in your field.|Target resonator gains [+400 / +200] until end of turn. At the end of turn, recover that resonator.
Blessed Protection	1	1-042	1-042	Spell	Chant - Instant	{w}{1}	2			Light	U		[Break] Target resonator gains [+0 / +500] until end of turn.|Target resonator or J-ruler gains [+0 / +500] until end of turn. You gain life equal to the damage it has been dealt.
Disarm	1	1-043	1-043	Spell	Chant - Instant	{w}{1}	2			Light	C		[Break] Destroy target addition.|Destroy target addition.
Light of Faith	1	1-044	1-044	Spell	Chant - Standby	{w}{1}	2			Light	U		[Break] Draw a card from your main deck.|[Trigger] Discard a card from your hand: Target resonator cannot be dealt any damage until end of turn.
Duel	1	1-045	1-045	Spell	Chant - Standby	{w}{1}	2			Light	C		[Trigger] Anytime: Target resonator gains [+400 / +400] until end of turn.
Glory Light of Submission	1	1-046	1-046	Spell	Chant - Standby	{w}{1}	2			Light	C		[Trigger] Anytime: Rest target resonator.
Oath of round Table	1	1-047	1-047	Spell	Chant - Standby	{w}{w}	2			Light	R		[Trigger] Banish a card in your lifebreak area: Recover your [Race: Knight of the Round Table] cards. They gain [+400 / +400] until end of turn. This card can be played only in your opponent's turn, after an attack is declared.
Castling	1	1-048	1-048	Spell	Chant - Standby	{w}{w}	2			Light	U		[Trigger] Discard a card from your hand when you're attacked: Damage dealt to you by target resonator becomes 0. You gain life equal to the ATK of the resonator.
Shuren, the King of Supremacy	1	1-049-r,1-049-j	1-049	Ruler				0 | 0	0 | 100	Fire	R		[J-Activate] Pay {r}{r}{r}, choose a card in you hand at random and discard it.|[Continuous] Your [Race: Samurai] resonators gain [+200 / +0]. / [Continuous] ATK and DEF of this card is equal to [total number of card in all magic stone areas x 100].|[Enter] Destroy all resonators in your field, then destroy all resonators and J-ruler with 800 or more ATK in your opponent's field.|[Activate] Banish a card in your magic stone area: This card deals 100 damage to target resonator or J-ruler.
Raging Flame Kabuki	1	1-050-r,1-050-j	1-050	Ruler				0 | 1000	0 | 400	Fire	R		[J-Activate] Banish three resonators in your field. This can be activated only at the beginning of your main phase. [Continuous] Your fire attribute resonators with total cost three or less can attack in the turn it's summoned. / [Continuous] At the end of turn, it deals 500 damage to you and return to the ruler side.|[Enter] Rest all resonators.|[Enter] This card can attack on the turn you did judgement.
Warlord of Exploding	1	1-051-r,1-051-j	1-051	Ruler				0 | 1000	0 | 1000	Fire	R		[J-Activate] Pay {r}{r}{2}|[Activate] Discard a card from your hand: Target resonator gains [Explode] until end of turn. / [Pierce]|[Target Attack]|[Enter] All resonators gain [+200 / +0] and [Explode] until end of turn.
Shock Troop of Asakna	1	1-052	1-052	Resonator	Samurai	{r}	1	200	200	Fire	C		[Break] Put this card into your field.|[Enter] This card can attack in the turn it's summoned.
Suicidal Troop of Asakna	1	1-053	1-053	Resonator	Samurai	{r}	1	200	200	Fire	C		[Break] This card deals 400 damage to target resonator.|[Activate] Banish this card: This card deals 400 damage to target resonator or player.
Guardian of Asakna	1	1-054	1-054	Resonator	Samurai	{r}{1}	2	200	200	Fire	C		[Break] Put this card into your field. Destroy this at the end of turn.|[Explode]
Cavalry of Asakna	1	1-055	1-055	Resonator	Samurai	{r}{1}	2	400	200	Fire	C		[Break] Put this card into your field.
Charger of Asakna	1	1-056	1-056	Resonator	Samurai	{r}{2}	3	800	600	Fire	C		[Continuous] This card cannot block.|[Continuous] This card cannot attack unless another resonator attacked this turn.
Battle Archer of Asakna	1	1-057	1-057	Resonator	Samurai	{r}{3}	4	400	400	Fire	U		[Activate] Pay {r}{2},[Rest]: Destroy target resonator with [Flying].
Fantian-huaji, the Pyre	1	1-058	1-058	Resonator	Hero	{r}{r}{3}	5	1000	400	Fire	R		[Continuous] This card cannot be targeted by spells or abilities while it's recovered.|[Enter] This card deals 400 damage to each other resonator.
Beard Duke Warrior of One-thousand	1	1-059	1-059	Resonator	Hero	{r}{r}{5}	7	0	800	Fire	R		[Pierce]|[Enter] This card can attack in the turn it's summoned.|[Continuous] ATK of this card is equal to [total number of all cards in all magic stone areas x 100.]
Barrooga, the Raging Fire Beast	1	1-060	1-060	Resonator	Beast	{r}{1}	2	200	200	Fire	C		[Break] Put this card into your field.|[Activate] [Rest]: Target resonator gains [+300 / +0] until end of turn.
The Flame	1	1-061	1-061	Resonator	Beast	{r}	1	200	200	Fire	R		[Break] Put this card into your field.|[Explode]
Bammoo, the Raging Fire Beast	1	1-062	1-062	Resonator	Beast	{r}{1}	2	400	200	Fire	U		[Continuous] When this card is destroyed by battle damage, it deals 200 damage to target resonator.
Sabretooth Tiger	1	1-063	1-063	Resonator	Beast	{r}{2}	3	800	200	Fire	C		[Break] Put this card into your field.
Flame Djinn	1	1-064	1-064	Resonator	Spirit	{r}{3}	4	800	400	Fire	U		[Continuous] At the end of turn, this card deals 400 damage to each resonator.|[Enter] This card can attack in the turn it's summoned.
Gark, the Pyre Beast	1	1-065	1-065	Resonator	Beast	{r}{3}	4	400	400	Fire	U		[Enter] This card deals 500 damage to target resonator.
Parrot Dragon	1	1-066	1-066	Resonator	Dragon	{r}{1}	2	400	200	Fire	C		[Break] Put this card into your field.
Lava Stream Drake	1	1-067	1-067	Resonator	Dragon	{r}{3}	4	400	400	Fire	C		[Flying]|[Explode]
Wyvern of Mount Olga	1	1-068	1-068	Resonator	Dragon	{r}{r}{3}	5	800	600	Fire	U		[Flying]
Flare Dragon	1	1-069	1-069	Resonator	Dragon	{r}{r}{5}	7	1000	1000	Fire	R		[Flying]|[Activate] Pay {r}: This card gains [+200 / +0] until end of turn.
Berserk Dragon	1	1-070	1-070	Resonator	Dragon	{r}{r}[8]	10	2000	400	Fire	SR		[Flying]|[Pierce]|[Continuous] At the end of battle phase this card attacked or blocked, it deals 1000 damage to you and each resonator.
Phoenix	1	1-071	1-071	Resonator	Divine Beast	{r}{r}{3}	5	600	600	Fire	R		[Flying]|[Continuous] When this card put into a graveyard from a field, you may return it to owner's hand.|[Activate] Pay {r}{r}{1},[Rest] banish this card: This card deals 500 damage to target resonator or player.
Efreet, the Blazing Elemental	1	1-072	1-072	Resonator	Spirit	{r}{2}	3	600	400	Fire	U		[Activate] Pay {2}: This card gains [+200 / +0] until end of turn.
Hino Kagutsuchino Mikoto, the Flaming God of Fate	1	1-073	1-073	Resonator	Deity	{r}{r}{r}{r}{4}	8	1500	1500	Fire	SR		[Pierce]|[Enter] This card deals 1000 damage to you and each resonator in your opponent's field.|[Enter] This card can attack on the turn it's summoned.
Belial, the Crimson Lord	1	1-074	1-074	Resonator	Demon	{r}{r}{r}{3}	6	800	800	Fire	R		[Continuous] Your resonators gain [Explode].|[Continuous] When your resonator put into a graveyard by [Explode], you may discard a card from your hand. If you do, return that resonator to its owner's hand.
Coorat, the Bond of Dead Dragon	1	1-075	1-075	Resonator	Evil Spirit	{r}{r}{3}	5	1000	1000	Fire	R		[Activate] [Rest], discard a card from your hand: Destroy target [Race: Dragon] resonator.
Spreading Anger	1	1-076	1-076	Addition: Field		{r}{1}	2			Fire	U		[Activate] Banish a resonator in your field: Target two resonators' ATK becomes the number equal to [the printed ATK of the banished resonator] until end of turn.
Urge of Destruction	1	1-077	1-077	Addition: Resonator		{r}	1			Fire	C		[Continuous] Resonator with this gains [Explode].
Stampede	1	1-078	1-078	Addition: Resonator		{r}	1			Fire	C		[Continuous] Resonator with this cannot trigger its [Activate]. It attacks if able.
Boiling Blood	1	1-079	1-079	Addition: Resonator		{r}	1			Fire	C		[Continuous] Resonator with this gains [+400 / +400].|[Continuous] Resonator with this cannot block.
Cursed Sword of Asakna	1	1-080	1-080	Addition: Resonator		{r}{1}	2			Fire	C		[Continuous] Resonator with this gains [+600 / +200].|[Continuous] Resonator with is cannot block.
Inspiration of War	1	1-081	1-081	Addition: Resonator		{r}{1}	2			Fire	C		[Continuous] ATK of resonator with this increase by [the number of other resonators in your field x 200].
Fireball	1	1-082	1-082	Spell	Chant	{r}	1			Fire	C		[Break] This card deals 500 damage to target resonator.|This card deals 400 damage to target resonator.
Blazing	1	1-083	1-083	Spell	Chant	{r}	1			Fire	U		[Break] This card deals [the number of cards in your magic stone area x 100] damage to target resonator.|Rest all recovered cards in your magic stone area. This card deals [the number of cards rested in this way x 200] damage to target resonator.
Banzai Attack	1	1-084	1-084	Spell	Chant	{r}{r}{2}	4			Fire	R		Your resonators gain [+700 / +0] and [Pierce] until end of turn. At the end of your turn, destroy your resonators and J-ruler.
Raging Inferno	1	1-085	1-085	Spell	Chant	{r}{4}	5			Fire	C		[Break] This card deals 500 damage to target player.|This card deals 1000 damage to target player. You cannot play this card if your opponent has 1000 life or less.
When I Die, You Too	1	1-086	1-086	Spell	Chant	{r}{r}{3}	5			Fire	R		You pay any amount of your life in multiples of 100. You cannot pay more life than the largest DEF among all resonator in all fields. This card deals [life you paid] damage to each resonator and your opponent.
Flaming Art ~Carnage~	1	1-087	1-087	Spell	Chant - Instant	{r}	1			Fire	U		[Break] This card deals 500 damage to target resonator.|This card deals 300 damage to target resonator.
Bursting Shot	1	1-088	1-088	Spell	Chant - Instant	{r}	1			Fire	C		[Break] This card deals [the number of cards in your magic stone area x 100] damage to target resonator.|Banish a recovered card in your magic stone area. This card deals 600 damage to target resonator or player.
Eyes in Anger	1	1-089	1-089	Spell	Chant - Instant	{r}	1			Fire	C		[Break] Target resonator gains [+500 / +0] until end of turn.|Rest all recovered cards in your magic stone area. ATK of target resonator increases [the number of cards rested in this way x 200] until end of turn.
Flame Lance	1	1-090	1-090	Spell	Chant - Instant	{r}{1}	2			Fire	R		[Break] This card deals 500 damage to target resonator or player.|This card deals 500 damage to target resonator or player.
Prepare to Fall Together	1	1-091	1-091	Spell	Chant - Instant	{r}{1}	2			Fire	C		[Break] Target resonator gains [Explode] until the end of turn.|Target resonator gains [Explode] until the end of turn.
Black Flame	1	1-092	1-092	Spell	Chant - Instant	{r}{3}	4			Fire	R		[Break] This card deals 1000 damage to target J-ruler.|This card deals 800 damage to target resonator or J-ruler.
Enlarge Body	1	1-093	1-093	Spell	Chant - Standby	{r}{1}	2			Fire	C		[Trigger] Anytime: Target resonator gains [+400 / +400] until end of turn.
Flaming Art ~Foxfire~	1	1-094	1-094	Spell	Chant - Standby	{r}{1}	2			Fire	C		[Trigger] When a resonator summoned: This card deals 200 damage to each resonator.
Flaming Art ~White Lotus~	1	1-095	1-095	Spell	Chant - Standby	{r}{r}	2			Fire	C		[Trigger] During the end phase of a turn that your opponent has gained life: This card deals 1000 damage to target player gained life this turn.
Flaming Art ~Giant Scorch~	1	1-096	1-096	Spell	Chant - Standby	{r}{r}	2			Fire	R		[Trigger] When a resonator summoned: This card deals 400 damage to each resonator and deals 800 damage to you.
Oathkeeper of the Sacred Sea	1	1-097-r,1-097-j	1-097	Ruler				0 | 0	0 | 600	Water	R		[J-Activate] Banish two cards in your chant-standby area.|[Activate] Pay {u}{3},[Rest]: Gain control of target resonator until end of turn. / [Enter] You may search for a Rahab, the Emperor Dragon of Riptide" from your main deck or your hand and put it into your field. This triggers [Enter] ability of that card. Then shuffle your main deck.|[Activate] Pay {2}: This card cannot be attacked until end of turn.|[Activate] Pay {u}{2},[Rest]: Gain control of target resonator until end of turn."
Labyrinth Master, Chronos	1	1-098-r	1-098	Ruler						Water	R		[Continuous] If a player would draw one or more cards, that player draws that many plus one cards instead. This ability is applied to all players. (For example, if you would draw two cards, draw three cards instead. You don't draw one card for each of the cards you draw. This ability won't be applied for the cards drawn by this ability.)|[Continuous] Whenever a resonator in a field is put into a player's hand, that player puts top card of his or her main deck into his or her graveyard. This ability is applied to all players.|[Activate] Pay {0}: You may activate this only once in a draw phase. The next time you would draw one or more cards in this phase, put the top card of your main deck into your graveyard then draw that many cards instead.
Twin Swords of Water's Mercy	1	1-099-r,1-099-j	1-099	Ruler				0 | 1000	0 | 1000	Water	R		[J-Activate] You have two or more cards in your chant-standby area.|[Activate] [Rest]: Target resonator gains [Flying] until end of turn. / [Pierce]|[Target Attack]|[Enter] Return target two resonators to their owner's hand.
Mermaid Apprentice Student	1	1-100	1-100	Resonator	Mermaid	{u}	1	200	200	Water	C		[Break] Put this card into your field.|[Continuous] When this card is put into a graveyard from your field, draw a card from your main deck.
Ea, the Wisdom Mermaid	1	1-101	1-101	Resonator	Mermaid	{u}{1}	2	200	400	Water	C		[Break] Put this card into your hand.|[Enter] Target player draws a card from his or her main deck.
Sweeper of Coral	1	1-102	1-102	Resonator	Mermaid	{u}{1}	2	200	200	Water	C		[Break] Destroy target addition.|[Activate] Banish this card: Destroy target addition.
Queen of Atlantis	1	1-103	1-103	Resonator	Mermaid	{u}{2}	3	200	400	Water	U		[Break] Rest target resonator.|[Activate] Pay {u}[Rest]: Rest target resonator.
Song of Tides	1	1-104	1-104	Resonator	Mermaid	{u}{2}	3	200	200	Water	U		[Break] Draw a card from your main deck.|[Activate] [Rest]: Produce {u} for each [Race: Mermaid] resonator in your field.
High Tide Warrior	1	1-105	1-105	Resonator	Swordsman	{u}{2}	3	400	400	Water	R		[Break] Put this card into your hand.|[Enter] Rest two target resonators.
Antorite, the Guardian of Deep Blue	1	1-106	1-106	Resonator	Mermaid	{u}{u}{u}	3	400	400	Water	R		[Continuous] Your [Race: Mermaid] resonators gain [+200 / +200].|[Activate] Pay {u}{4}: Target player draws a card from his or her main deck.
Amazon of Blue Ocean	1	1-107	1-107	Resonator	Swordsman	{u}{2}	3	600	600	Water	C		[Break] Put this card into your field.|[Target Attack]
Guide of Chaos	1	1-108	1-108	Resonator	Clown	{u}{1}	2	400	400	Water	C		[Break] Put top five cards in your opponents main deck to his or her graveyard.|[Activate] Banish this card: Put top two cards in your opponents main deck to his or her graveyard.
Clockwork Messenger	1	1-109	1-109	Resonator	Clown	{u}{1}	2	200	200	Water	C		[Break] Search for a resonator with total cost 6 or less from your main deck, reveal it and put it into your hand. Then shuffle your main deck.|[Continuous] Whenever this card deals battle damage to an opponent, each player draws a card.
Clown of Labyrinth	1	1-110	1-110	Resonator	Clown	{u}{2}	3	600	600	Water	C		[Break] Put top five cards in your opponents main deck to his or her graveyard.|[Continuous] Whenever you attack with this card, put the top card in your opponents main deck to his or her graveyard.
Phantom Reviver	1	1-111	1-111	Resonator	Phantom	{u}{1}	2	200	200	Water	C		[Break] Put this card into your field.|[Continuous] At the end of turn, return each resonator battle with this card to its owner's hand.
Magic Tricker	1	1-112	1-112	Resonator	Clown	{u}{1}	2	200	200	Water	C		[Break] Put this card into your hand.|[Enter] Put all cards in your hand to your main deck, shuffle it and draw cards equal to the number of cards you had from your main deck.
Mirage Golem	1	1-113	1-113	Resonator	Phantom	{u}{u}{1}	3	0	100	Water	SR		[Continuous] If [Activate] of this card was used, this card's ATK, DEF and abilities are the same as the ones of the resonator targeted by [Activate].|[Activate] You can use this ability only from your hand. When a resonator is summoned, you may pay {u}{u}: If you do, when the resonator is put into a field, you put this card into your field, targeting the resonator.
Mirage Knight	1	1-114	1-114	Resonator	Phantom	{u}{3}	4	0	100	Water	R		[Continuous] If [Enter] of this card was used, this card's ATK and DEF are the same as the ones of the resonator targeted by [Enter].|[Continuous] When the resonator targeted by [Enter] of this card is destroyed, destroy this card.|[Enter] Choose target resonator in your opponent's field.
Gravephantom	1	1-115	1-115	Resonator	Phantom	{u}{3}	4	200	200	Water	R		[Break] Put this card into your hand.|[Continuous] If the top card of your opponent's graveyard is a resonator. ATK, DEF, and abilities of this card are the ones of the card in that graveyard. Otherwise, this ability does nothing.
Illusionary Guardian	1	1-116	1-116	Resonator	Phantom	{u}{3}	4	0	100	Water	U		[Break] Put this card into your field.|[Activate] Pay {u}: ATK and DEF of this card is the ones of target non-[Race: Phantom] resonator in an opponent's field until end of turn.
Labyrinth Capturer	1	1-117	1-117	Resonator	Phantom	{u}{u}{2}	4	800	800	Water	C		[Continuous] You may choose not to recover this card in a recover phase.|[Activate] [Rest]: Target rested resonator cannot recover as long as this card is rested.
Mirage Slime	1	1-118	1-118	Resonator	Slime	{u}{2}	3	400	400	Water	C		[Break] Put this card into your field.|[Continuous] This card cannot be targeted by spells or abilities.
Acidic Slime	1	1-119	1-119	Resonator	Slime	{u}{2}	3	600	600	Water	U		[Break] Put this card into your hand.|[Continuous] At the end of your turn, each player put the top card of his or her main deck into his or her graveyard.
Aspidochelone, the Giant Turtle of Wisdom	1	1-120	1-120	Resonator	Divine Beast	{u}{u}{3}	5	200	1000	Water	R		[Continuous] Other resonators in your field cannot be attacked by your opponent's resonators.
Wall of Blizzard	1	1-121	1-121	Resonator	Golem	{u}{u}{1}	3	0	1500	Water	U		[Break] Put this card into your hand.
Ayakashi, the Serpent of Oil Mud	1	1-122	1-122	Resonator	Dragon	{u}{u}{2}	4	400	400	Water	R		[Continuous] As you choose this card as an attacker, before you choose where to attack, you may rest up to two resonators.
Water Dragon	1	1-123	1-123	Resonator	Dragon	{u}{4}	5	1000	800	Water	U		[Pierce]
Disappearing Drake	1	1-124	1-124	Resonator	Dragon	{u}{u}{3}	5	600	800	Water	U		[Flying]|[Activate] Pay {u}: Return this card to its owner's hand.
Rahab, the Emperor Dragon of Riptide	1	1-125	1-125	Resonator	Dragon	{u}{u}{4}	6	0	600	Water	SR		[Enter] Return other resonators and additions to owner's hand.|[Continuous] ATK of this card is equal to [the number of all cards returned to all players' hands by [Enter] x 200].|[Continuous] If you choose this card as an attacker, all players cannot play spells or [Activate] until end of the battle.
Mirage Drake	1	1-126	1-126	Resonator	Dragon	{u}{u}{4}	6	1000	1000	Water	R		[Flying]|[Activate] Pay {1}: This card cannot be targeted by spells or abilities until end of turn.
Landing Point of Ice	1	1-127	1-127	Addition: Field		{u}{1}	2			Water	C		[Continuous] All resonators come into fields rested.
Labyrinth of Doubt	1	1-128	1-128	Addition: Field		{u}{u}{2}	4			Water	R		[Continuous] At the end of turn, return each resonator that attacked this turn to its owner's hand.|[Continuous] At the beginning of your draw phase, banish this card unless you pay {u}{u}.
Mutating Potion -eclosion-	1	1-129	1-129	Addition: Resonator		{u}	1			Water	C		[Continuous] Resonator with this gains [Flying].
Mirage Mail	1	1-130	1-130	Addition: Resonator		{u}{1}	2			Water	C		[Continuous] Resonator with this cannot be targeted by spells or abilities.
Forget	1	1-131	1-131	Addition: Resonator		{u}{1}	2			Water	C		[Continuous] Resonator with this loses all abilities.
Nerve Control	1	1-132	1-132	Addition: Resonator		{u}{u}{2}	4			Water	R		You gain control of target resonator. Then this card becomes an addition added to that resonator.|[Continuous] When this card leaves your field, return that resonator to its owner's hand.|[Continuous] At the beginning of your main phase, pay {u}. If you don't, banish this card.
New Stream	1	1-133	1-133	Spell	Chant	{u}{u}{2}	4			Water	R		[Break] Each player draws two cards from his or her main deck.|Each player discards all cards from his or her hand. Then each player draws four cards from his or her main deck.
Flow Back	1	1-134	1-134	Spell	Chant - Instant	{u}	1			Water	C		[Break] Rest target resonator.|Rest target resonator.
Mind Control	1	1-135	1-135	Spell	Chant - Instant	{u}{1}	2			Water	C		[Break] Rest target resonator.|Target resonator's ATK and DEF becomes the another target resonator's printed ATK and printed DEF until end of turn.
Call of Illusion	1	1-136	1-136	Spell	Chant - Instant	{u}{1}	2			Water	C		[Break] Destroy target card in a chant-standby area.|Destroy target card in a chant-standby area. It cannot be used to chase this card.
Wash Away	1	1-137	1-137	Spell	Chant - Instant	{u}{1}	2			Water	C		[Break] Return target resonator to its owner's hand.|Return target resonator back to its owner's hand.
Diffuse Reflection	1	1-138	1-138	Spell	Chant - Instant	{u}{u}{1}	3			Water	U		[Break] Draw a card from your main deck.|Change a target of a spell or ability that targets a resonator or an addition to another. (If it targets more then one, you can change one of it.)
